payment_log_id,influencer_id,payment_basis,post_id,source,invoice_date,payment_amount
plog_15196,inf_001,Order,001,trk_inf_001_post_207,2025-04-05,120.0
plog_15197,inf_001,Order,001,trk_inf_001_post_207,2025-04-09,96.0
plog_15198,inf_001,Order,001,trk_inf_001_post_207,2025-04-07,96.0
plog_15199,inf_001,Order,001,trk_inf_001_post_207,2025-04-08,96.0
plog_22032,inf_001,Order,001,trk_inf_001_post_290,2025-05-02,76.0
plog_22033,inf_001,Order,001,trk_inf_001_post_290,2025-05-03,144.0
plog_22034,inf_001,Order,001,trk_inf_001_post_290,2025-04-29,52.0
plog_22035,inf_001,Order,001,trk_inf_001_post_290,2025-04-30,52.0
plog_22036,inf_001,Order,001,trk_inf_001_post_290,2025-04-29,144.0
plog_22037,inf_001,Order,001,trk_inf_001_post_290,2025-05-02,64.0
plog_22038,inf_001,Order,001,trk_inf_001_post_290,2025-04-27,76.0
plog_22039,inf_001,Order,001,trk_inf_001_post_290,2025-05-01,76.0
plog_22040,inf_001,Order,001,trk_inf_001_post_290,2025-04-30,52.0
plog_22041,inf_001,Order,001,trk_inf_001_post_290,2025-05-02,64.0
plog_22042,inf_001,Order,001,trk_inf_001_post_290,2025-04-29,52.0
plog_22043,inf_001,Order,001,trk_inf_001_post_290,2025-04-29,76.0
plog_22044,inf_001,Order,001,trk_inf_001_post_290,2025-04-28,144.0
plog_22045,inf_001,Order,001,trk_inf_001_post_290,2025-05-01,144.0
plog_22046,inf_001,Order,001,trk_inf_001_post_290,2025-05-02,64.0
plog_22047,inf_001,Order,001,trk_inf_001_post_290,2025-04-29,144.0
plog_22048,inf_001,Order,001,trk_inf_001_post_290,2025-05-02,64.0
plog_22049,inf_001,Order,001,trk_inf_001_post_290,2025-04-27,52.0
plog_22050,inf_001,Order,001,trk_inf_001_post_290,2025-05-01,64.0
plog_22051,inf_001,Order,001,trk_inf_001_post_290,2025-04-28,52.0
plog_26103,inf_001,Order,001,trk_inf_001_post_339,2025-06-11,52.0
plog_26104,inf_001,Order,001,trk_inf_001_post_339,2025-06-10,76.0
plog_26105,inf_001,Order,001,trk_inf_001_post_339,2025-06-09,64.0
plog_26106,inf_001,Order,001,trk_inf_001_post_339,2025-06-06,144.0
plog_31505,inf_001,Order,001,trk_inf_001_post_417,2025-05-03,72.0
plog_31506,inf_001,Order,001,trk_inf_001_post_417,2025-05-06,96.0
plog_31507,inf_001,Order,001,trk_inf_001_post_417,2025-05-02,72.0
plog_31508,inf_001,Order,001,trk_inf_001_post_417,2025-05-02,304.0
plog_31509,inf_001,Order,001,trk_inf_001_post_417,2025-04-30,304.0
plog_31510,inf_001,Order,001,trk_inf_001_post_417,2025-04-30,72.0
plog_31511,inf_001,Order,001,trk_inf_001_post_417,2025-05-05,72.0
plog_31512,inf_001,Order,001,trk_inf_001_post_417,2025-05-06,120.0
plog_31513,inf_001,Order,001,trk_inf_001_post_417,2025-05-05,120.0
plog_31514,inf_001,Order,001,trk_inf_001_post_417,2025-05-06,96.0
plog_31515,inf_001,Order,001,trk_inf_001_post_417,2025-05-01,96.0
plog_31516,inf_001,Order,001,trk_inf_001_post_417,2025-04-30,304.0
plog_31517,inf_001,Order,001,trk_inf_001_post_417,2025-05-04,96.0
plog_31518,inf_001,Order,001,trk_inf_001_post_417,2025-05-04,96.0
plog_31519,inf_001,Order,001,trk_inf_001_post_417,2025-05-01,304.0
plog_31520,inf_001,Order,001,trk_inf_001_post_417,2025-05-05,96.0
plog_31521,inf_001,Order,001,trk_inf_001_post_417,2025-04-30,96.0
plog_31522,inf_001,Order,001,trk_inf_001_post_417,2025-05-02,304.0
plog_31523,inf_001,Order,001,trk_inf_001_post_417,2025-05-03,72.0
plog_31524,inf_001,Order,001,trk_inf_001_post_417,2025-04-30,96.0
plog_31525,inf_001,Order,001,trk_inf_001_post_417,2025-05-01,72.0
plog_31526,inf_001,Order,001,trk_inf_001_post_417,2025-05-04,304.0
plog_31527,inf_001,Order,001,trk_inf_001_post_417,2025-05-04,120.0
plog_31528,inf_001,Order,001,trk_inf_001_post_417,2025-05-04,304.0
plog_31529,inf_001,Order,001,trk_inf_001_post_417,2025-05-05,120.0
plog_31530,inf_001,Order,001,trk_inf_001_post_417,2025-04-30,120.0
plog_34482,inf_001,Order,001,trk_inf_001_post_453,2025-06-01,120.0
plog_34483,inf_001,Order,001,trk_inf_001_post_453,2025-05-31,120.0
plog_34484,inf_001,Order,001,trk_inf_001_post_453,2025-06-04,304.0
plog_34485,inf_001,Order,001,trk_inf_001_post_453,2025-06-03,120.0
plog_34486,inf_001,Order,001,trk_inf_001_post_453,2025-06-05,120.0
plog_34487,inf_001,Order,001,trk_inf_001_post_453,2025-06-03,96.0
plog_34488,inf_001,Order,001,trk_inf_001_post_453,2025-06-03,304.0
plog_34489,inf_001,Order,001,trk_inf_001_post_453,2025-05-31,120.0
plog_34490,inf_001,Order,001,trk_inf_001_post_453,2025-06-02,304.0
plog_34491,inf_001,Order,001,trk_inf_001_post_453,2025-06-01,96.0
plog_34492,inf_001,Order,001,trk_inf_001_post_453,2025-06-01,72.0
plog_34493,inf_001,Order,001,trk_inf_001_post_453,2025-06-05,72.0
plog_34494,inf_001,Order,001,trk_inf_001_post_453,2025-06-05,72.0
plog_34495,inf_001,Order,001,trk_inf_001_post_453,2025-06-04,304.0
plog_34496,inf_001,Order,001,trk_inf_001_post_453,2025-06-06,72.0
plog_34497,inf_001,Order,001,trk_inf_001_post_453,2025-06-02,96.0
plog_34498,inf_001,Order,001,trk_inf_001_post_453,2025-06-04,72.0
plog_34499,inf_001,Order,001,trk_inf_001_post_453,2025-06-06,72.0
plog_34500,inf_001,Order,001,trk_inf_001_post_453,2025-05-31,120.0
plog_34501,inf_001,Order,001,trk_inf_001_post_453,2025-06-03,304.0
plog_34502,inf_001,Order,001,trk_inf_001_post_453,2025-06-06,72.0
plog_34503,inf_001,Order,001,trk_inf_001_post_453,2025-06-01,120.0
plog_34504,inf_001,Order,001,trk_inf_001_post_453,2025-06-06,96.0
plog_34505,inf_001,Order,001,trk_inf_001_post_453,2025-06-03,120.0
plog_34506,inf_001,Order,001,trk_inf_001_post_453,2025-06-04,96.0
plog_34507,inf_001,Order,001,trk_inf_001_post_453,2025-06-03,96.0
plog_34508,inf_001,Order,001,trk_inf_001_post_453,2025-06-02,120.0
plog_34509,inf_001,Order,001,trk_inf_001_post_453,2025-06-02,120.0
plog_34510,inf_001,Order,001,trk_inf_001_post_453,2025-06-01,304.0
plog_34511,inf_001,Order,001,trk_inf_001_post_453,2025-06-03,120.0
plog_34512,inf_001,Order,001,trk_inf_001_post_453,2025-06-03,72.0
plog_34513,inf_001,Order,001,trk_inf_001_post_453,2025-06-02,120.0
plog_34514,inf_001,Order,001,trk_inf_001_post_453,2025-06-05,120.0
plog_34515,inf_001,Order,001,trk_inf_001_post_453,2025-06-02,72.0
plog_34516,inf_001,Order,001,trk_inf_001_post_453,2025-06-06,120.0
plog_34517,inf_001,Order,001,trk_inf_001_post_453,2025-06-03,96.0
plog_0012,inf_002,Post,post_061,,2025-06-26,30655.4
plog_0066,inf_002,Post,post_332,,2025-06-17,30655.4
plog_0075,inf_002,Post,post_375,,2025-01-09,30655.4
plog_0088,inf_002,Post,post_410,,2025-05-01,30655.4
plog_0091,inf_002,Post,post_422,,2025-05-12,30655.4
plog_0106,inf_002,Post,post_476,,2025-01-22,30655.4
plog_0019,inf_003,Post,post_108,,2025-01-12,811511.64
plog_0025,inf_003,Post,post_145,,2025-03-09,811511.64
plog_0071,inf_003,Post,post_361,,2025-01-20,811511.64
plog_0092,inf_003,Post,post_431,,2025-07-03,811511.64
plog_5280,inf_004,Order,004,trk_inf_004_post_090,2025-03-30,120.0
plog_5281,inf_004,Order,004,trk_inf_004_post_090,2025-04-02,72.0
plog_5282,inf_004,Order,004,trk_inf_004_post_090,2025-04-01,96.0
plog_5283,inf_004,Order,004,trk_inf_004_post_090,2025-03-30,120.0
plog_5284,inf_004,Order,004,trk_inf_004_post_090,2025-04-05,96.0
plog_5285,inf_004,Order,004,trk_inf_004_post_090,2025-04-05,96.0
plog_5286,inf_004,Order,004,trk_inf_004_post_090,2025-04-02,96.0
plog_5287,inf_004,Order,004,trk_inf_004_post_090,2025-04-05,72.0
plog_5288,inf_004,Order,004,trk_inf_004_post_090,2025-04-04,96.0
plog_5289,inf_004,Order,004,trk_inf_004_post_090,2025-03-31,304.0
plog_5290,inf_004,Order,004,trk_inf_004_post_090,2025-04-03,72.0
plog_5291,inf_004,Order,004,trk_inf_004_post_090,2025-04-05,120.0
plog_5292,inf_004,Order,004,trk_inf_004_post_090,2025-04-02,96.0
plog_5293,inf_004,Order,004,trk_inf_004_post_090,2025-03-31,120.0
plog_5294,inf_004,Order,004,trk_inf_004_post_090,2025-04-05,72.0
plog_5295,inf_004,Order,004,trk_inf_004_post_090,2025-03-31,96.0
plog_5296,inf_004,Order,004,trk_inf_004_post_090,2025-04-01,72.0
plog_5297,inf_004,Order,004,trk_inf_004_post_090,2025-04-01,120.0
plog_5298,inf_004,Order,004,trk_inf_004_post_090,2025-03-30,72.0
plog_5299,inf_004,Order,004,trk_inf_004_post_090,2025-03-30,72.0
plog_5300,inf_004,Order,004,trk_inf_004_post_090,2025-04-03,120.0
plog_5301,inf_004,Order,004,trk_inf_004_post_090,2025-04-02,120.0
plog_5302,inf_004,Order,004,trk_inf_004_post_090,2025-04-04,120.0
plog_5303,inf_004,Order,004,trk_inf_004_post_090,2025-03-31,72.0
plog_5304,inf_004,Order,004,trk_inf_004_post_090,2025-04-02,72.0
plog_5305,inf_004,Order,004,trk_inf_004_post_090,2025-04-04,96.0
plog_5306,inf_004,Order,004,trk_inf_004_post_090,2025-04-03,304.0
plog_5307,inf_004,Order,004,trk_inf_004_post_090,2025-03-31,304.0
plog_5308,inf_004,Order,004,trk_inf_004_post_090,2025-04-03,304.0
plog_5309,inf_004,Order,004,trk_inf_004_post_090,2025-03-30,304.0
plog_5310,inf_004,Order,004,trk_inf_004_post_090,2025-04-01,120.0
plog_5311,inf_004,Order,004,trk_inf_004_post_090,2025-04-03,72.0
plog_26986,inf_004,Order,004,trk_inf_004_post_359,2025-01-06,120.0
plog_26987,inf_004,Order,004,trk_inf_004_post_359,2025-01-08,72.0
plog_26988,inf_004,Order,004,trk_inf_004_post_359,2025-01-09,96.0
plog_26989,inf_004,Order,004,trk_inf_004_post_359,2025-01-11,96.0
plog_26990,inf_004,Order,004,trk_inf_004_post_359,2025-01-09,120.0
plog_26991,inf_004,Order,004,trk_inf_004_post_359,2025-01-09,304.0
plog_6106,inf_005,Order,005,trk_inf_005_post_105,2025-03-12,36.0
plog_6107,inf_005,Order,005,trk_inf_005_post_105,2025-03-13,28.0
plog_6108,inf_005,Order,005,trk_inf_005_post_105,2025-03-13,72.0
plog_6109,inf_005,Order,005,trk_inf_005_post_105,2025-03-14,28.0
plog_6110,inf_005,Order,005,trk_inf_005_post_105,2025-03-10,36.0
plog_6111,inf_005,Order,005,trk_inf_005_post_105,2025-03-12,28.0
plog_6112,inf_005,Order,005,trk_inf_005_post_105,2025-03-08,36.0
plog_6113,inf_005,Order,005,trk_inf_005_post_105,2025-03-12,36.0
plog_8465,inf_005,Order,005,trk_inf_005_post_123,2025-04-24,120.0
plog_8466,inf_005,Order,005,trk_inf_005_post_123,2025-04-27,304.0
plog_8467,inf_005,Order,005,trk_inf_005_post_123,2025-04-25,120.0
plog_8468,inf_005,Order,005,trk_inf_005_post_123,2025-04-26,96.0
plog_8469,inf_005,Order,005,trk_inf_005_post_123,2025-04-24,96.0
plog_8470,inf_005,Order,005,trk_inf_005_post_123,2025-04-26,72.0
plog_8471,inf_005,Order,005,trk_inf_005_post_123,2025-04-24,120.0
plog_8472,inf_005,Order,005,trk_inf_005_post_123,2025-04-22,304.0
plog_8473,inf_005,Order,005,trk_inf_005_post_123,2025-04-24,304.0
plog_8474,inf_005,Order,005,trk_inf_005_post_123,2025-04-27,304.0
plog_8475,inf_005,Order,005,trk_inf_005_post_123,2025-04-28,304.0
plog_8476,inf_005,Order,005,trk_inf_005_post_123,2025-04-22,72.0
plog_9531,inf_005,Order,005,trk_inf_005_post_143,2025-03-01,76.0
plog_9532,inf_005,Order,005,trk_inf_005_post_143,2025-02-27,64.0
plog_9533,inf_005,Order,005,trk_inf_005_post_143,2025-03-03,52.0
plog_9534,inf_005,Order,005,trk_inf_005_post_143,2025-03-01,76.0
plog_9535,inf_005,Order,005,trk_inf_005_post_143,2025-03-05,144.0
plog_9536,inf_005,Order,005,trk_inf_005_post_143,2025-02-28,64.0
plog_9537,inf_005,Order,005,trk_inf_005_post_143,2025-02-28,52.0
plog_9538,inf_005,Order,005,trk_inf_005_post_143,2025-02-27,52.0
plog_9539,inf_005,Order,005,trk_inf_005_post_143,2025-02-27,144.0
plog_9540,inf_005,Order,005,trk_inf_005_post_143,2025-02-28,52.0
plog_9541,inf_005,Order,005,trk_inf_005_post_143,2025-02-28,76.0
plog_9542,inf_005,Order,005,trk_inf_005_post_143,2025-03-03,144.0
plog_9543,inf_005,Order,005,trk_inf_005_post_143,2025-03-04,52.0
plog_9544,inf_005,Order,005,trk_inf_005_post_143,2025-03-04,64.0
plog_9545,inf_005,Order,005,trk_inf_005_post_143,2025-03-05,52.0
plog_9546,inf_005,Order,005,trk_inf_005_post_143,2025-03-01,52.0
plog_9547,inf_005,Order,005,trk_inf_005_post_143,2025-03-03,64.0
plog_9548,inf_005,Order,005,trk_inf_005_post_143,2025-02-28,76.0
plog_9549,inf_005,Order,005,trk_inf_005_post_143,2025-02-28,52.0
plog_9550,inf_005,Order,005,trk_inf_005_post_143,2025-03-05,76.0
plog_9551,inf_005,Order,005,trk_inf_005_post_143,2025-03-01,144.0
plog_9552,inf_005,Order,005,trk_inf_005_post_143,2025-02-27,76.0
plog_9553,inf_005,Order,005,trk_inf_005_post_143,2025-03-03,144.0
plog_9554,inf_005,Order,005,trk_inf_005_post_143,2025-02-27,76.0
plog_9555,inf_005,Order,005,trk_inf_005_post_143,2025-02-27,64.0
plog_20870,inf_005,Order,005,trk_inf_005_post_275,2025-03-29,72.0
plog_20871,inf_005,Order,005,trk_inf_005_post_275,2025-03-31,304.0
plog_20872,inf_005,Order,005,trk_inf_005_post_275,2025-03-28,120.0
plog_20873,inf_005,Order,005,trk_inf_005_post_275,2025-03-28,120.0
plog_20874,inf_005,Order,005,trk_inf_005_post_275,2025-03-30,72.0
plog_20875,inf_005,Order,005,trk_inf_005_post_275,2025-03-30,72.0
plog_20876,inf_005,Order,005,trk_inf_005_post_275,2025-04-01,72.0
plog_20877,inf_005,Order,005,trk_inf_005_post_275,2025-03-26,304.0
plog_20878,inf_005,Order,005,trk_inf_005_post_275,2025-03-29,120.0
plog_20879,inf_005,Order,005,trk_inf_005_post_275,2025-03-29,120.0
plog_20880,inf_005,Order,005,trk_inf_005_post_275,2025-03-28,72.0
plog_20881,inf_005,Order,005,trk_inf_005_post_275,2025-04-01,304.0
plog_20882,inf_005,Order,005,trk_inf_005_post_275,2025-03-29,304.0
plog_20883,inf_005,Order,005,trk_inf_005_post_275,2025-03-31,120.0
plog_20884,inf_005,Order,005,trk_inf_005_post_275,2025-03-28,304.0
plog_20885,inf_005,Order,005,trk_inf_005_post_275,2025-03-29,304.0
plog_20886,inf_005,Order,005,trk_inf_005_post_275,2025-04-01,120.0
plog_20887,inf_005,Order,005,trk_inf_005_post_275,2025-04-01,120.0
plog_20888,inf_005,Order,005,trk_inf_005_post_275,2025-03-27,96.0
plog_24660,inf_005,Order,005,trk_inf_005_post_326,2025-02-01,76.0
plog_24661,inf_005,Order,005,trk_inf_005_post_326,2025-02-03,76.0
plog_24662,inf_005,Order,005,trk_inf_005_post_326,2025-01-29,76.0
plog_24663,inf_005,Order,005,trk_inf_005_post_326,2025-02-01,64.0
plog_24664,inf_005,Order,005,trk_inf_005_post_326,2025-02-01,52.0
plog_24665,inf_005,Order,005,trk_inf_005_post_326,2025-01-28,76.0
plog_24666,inf_005,Order,005,trk_inf_005_post_326,2025-02-01,52.0
plog_24667,inf_005,Order,005,trk_inf_005_post_326,2025-01-31,144.0
plog_24668,inf_005,Order,005,trk_inf_005_post_326,2025-01-29,76.0
plog_24669,inf_005,Order,005,trk_inf_005_post_326,2025-01-31,64.0
plog_24670,inf_005,Order,005,trk_inf_005_post_326,2025-02-02,144.0
plog_24671,inf_005,Order,005,trk_inf_005_post_326,2025-01-28,144.0
plog_24672,inf_005,Order,005,trk_inf_005_post_326,2025-01-31,64.0
plog_24673,inf_005,Order,005,trk_inf_005_post_326,2025-02-03,76.0
plog_24674,inf_005,Order,005,trk_inf_005_post_326,2025-02-02,144.0
plog_24675,inf_005,Order,005,trk_inf_005_post_326,2025-02-03,144.0
plog_24676,inf_005,Order,005,trk_inf_005_post_326,2025-01-31,64.0
plog_24677,inf_005,Order,005,trk_inf_005_post_326,2025-01-29,64.0
plog_24678,inf_005,Order,005,trk_inf_005_post_326,2025-02-01,76.0
plog_24679,inf_005,Order,005,trk_inf_005_post_326,2025-02-01,52.0
plog_26844,inf_005,Order,005,trk_inf_005_post_351,2025-01-11,28.0
plog_26845,inf_005,Order,005,trk_inf_005_post_351,2025-01-08,28.0
plog_26846,inf_005,Order,005,trk_inf_005_post_351,2025-01-05,36.0
plog_26847,inf_005,Order,005,trk_inf_005_post_351,2025-01-08,72.0
plog_26848,inf_005,Order,005,trk_inf_005_post_351,2025-01-07,72.0
plog_26849,inf_005,Order,005,trk_inf_005_post_351,2025-01-05,36.0
plog_26850,inf_005,Order,005,trk_inf_005_post_351,2025-01-05,72.0
plog_26851,inf_005,Order,005,trk_inf_005_post_351,2025-01-10,72.0
plog_26852,inf_005,Order,005,trk_inf_005_post_351,2025-01-09,72.0
plog_26853,inf_005,Order,005,trk_inf_005_post_351,2025-01-07,28.0
plog_26854,inf_005,Order,005,trk_inf_005_post_351,2025-01-06,72.0
plog_26855,inf_005,Order,005,trk_inf_005_post_351,2025-01-06,28.0
plog_26856,inf_005,Order,005,trk_inf_005_post_351,2025-01-10,36.0
plog_26857,inf_005,Order,005,trk_inf_005_post_351,2025-01-07,36.0
plog_26858,inf_005,Order,005,trk_inf_005_post_351,2025-01-10,28.0
plog_26859,inf_005,Order,005,trk_inf_005_post_351,2025-01-08,72.0
plog_26860,inf_005,Order,005,trk_inf_005_post_351,2025-01-10,72.0
plog_26861,inf_005,Order,005,trk_inf_005_post_351,2025-01-11,72.0
plog_26862,inf_005,Order,005,trk_inf_005_post_351,2025-01-07,72.0
plog_26863,inf_005,Order,005,trk_inf_005_post_351,2025-01-07,36.0
plog_29973,inf_005,Order,005,trk_inf_005_post_395,2025-02-11,72.0
plog_29974,inf_005,Order,005,trk_inf_005_post_395,2025-02-14,36.0
plog_29975,inf_005,Order,005,trk_inf_005_post_395,2025-02-10,28.0
plog_29976,inf_005,Order,005,trk_inf_005_post_395,2025-02-13,72.0
plog_29977,inf_005,Order,005,trk_inf_005_post_395,2025-02-11,72.0
plog_29978,inf_005,Order,005,trk_inf_005_post_395,2025-02-09,72.0
plog_29979,inf_005,Order,005,trk_inf_005_post_395,2025-02-09,72.0
plog_29980,inf_005,Order,005,trk_inf_005_post_395,2025-02-10,36.0
plog_29981,inf_005,Order,005,trk_inf_005_post_395,2025-02-10,72.0
plog_29982,inf_005,Order,005,trk_inf_005_post_395,2025-02-11,72.0
plog_29983,inf_005,Order,005,trk_inf_005_post_395,2025-02-11,72.0
plog_29984,inf_005,Order,005,trk_inf_005_post_395,2025-02-09,36.0
plog_29985,inf_005,Order,005,trk_inf_005_post_395,2025-02-14,72.0
plog_29986,inf_005,Order,005,trk_inf_005_post_395,2025-02-13,28.0
plog_29987,inf_005,Order,005,trk_inf_005_post_395,2025-02-12,72.0
plog_29988,inf_005,Order,005,trk_inf_005_post_395,2025-02-13,72.0
plog_29989,inf_005,Order,005,trk_inf_005_post_395,2025-02-15,28.0
plog_29990,inf_005,Order,005,trk_inf_005_post_395,2025-02-15,72.0
plog_29991,inf_005,Order,005,trk_inf_005_post_395,2025-02-10,28.0
plog_29992,inf_005,Order,005,trk_inf_005_post_395,2025-02-15,72.0
plog_30447,inf_005,Order,005,trk_inf_005_post_401,2025-06-16,76.0
plog_30448,inf_005,Order,005,trk_inf_005_post_401,2025-06-21,144.0
plog_30449,inf_005,Order,005,trk_inf_005_post_401,2025-06-17,64.0
plog_30450,inf_005,Order,005,trk_inf_005_post_401,2025-06-21,76.0
plog_30451,inf_005,Order,005,trk_inf_005_post_401,2025-06-21,76.0
plog_30452,inf_005,Order,005,trk_inf_005_post_401,2025-06-16,144.0
plog_30453,inf_005,Order,005,trk_inf_005_post_401,2025-06-16,76.0
plog_30454,inf_005,Order,005,trk_inf_005_post_401,2025-06-18,52.0
plog_30455,inf_005,Order,005,trk_inf_005_post_401,2025-06-21,76.0
plog_30456,inf_005,Order,005,trk_inf_005_post_401,2025-06-17,144.0
plog_30457,inf_005,Order,005,trk_inf_005_post_401,2025-06-20,144.0
plog_30458,inf_005,Order,005,trk_inf_005_post_401,2025-06-16,64.0
plog_30459,inf_005,Order,005,trk_inf_005_post_401,2025-06-21,76.0
plog_30460,inf_005,Order,005,trk_inf_005_post_401,2025-06-18,144.0
plog_30461,inf_005,Order,005,trk_inf_005_post_401,2025-06-17,144.0
plog_1269,inf_006,Order,006,trk_inf_006_post_022,2025-01-10,96.0
plog_1270,inf_006,Order,006,trk_inf_006_post_022,2025-01-05,120.0
plog_1271,inf_006,Order,006,trk_inf_006_post_022,2025-01-07,72.0
plog_1272,inf_006,Order,006,trk_inf_006_post_022,2025-01-09,96.0
plog_1273,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,72.0
plog_1274,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,96.0
plog_1275,inf_006,Order,006,trk_inf_006_post_022,2025-01-09,304.0
plog_1276,inf_006,Order,006,trk_inf_006_post_022,2025-01-09,120.0
plog_1277,inf_006,Order,006,trk_inf_006_post_022,2025-01-07,120.0
plog_1278,inf_006,Order,006,trk_inf_006_post_022,2025-01-06,96.0
plog_1279,inf_006,Order,006,trk_inf_006_post_022,2025-01-04,96.0
plog_1280,inf_006,Order,006,trk_inf_006_post_022,2025-01-07,304.0
plog_1281,inf_006,Order,006,trk_inf_006_post_022,2025-01-07,120.0
plog_1282,inf_006,Order,006,trk_inf_006_post_022,2025-01-09,96.0
plog_1283,inf_006,Order,006,trk_inf_006_post_022,2025-01-06,304.0
plog_1284,inf_006,Order,006,trk_inf_006_post_022,2025-01-04,304.0
plog_1285,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,304.0
plog_1286,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,96.0
plog_1287,inf_006,Order,006,trk_inf_006_post_022,2025-01-05,120.0
plog_1288,inf_006,Order,006,trk_inf_006_post_022,2025-01-05,72.0
plog_1289,inf_006,Order,006,trk_inf_006_post_022,2025-01-05,72.0
plog_1290,inf_006,Order,006,trk_inf_006_post_022,2025-01-05,120.0
plog_1291,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,120.0
plog_1292,inf_006,Order,006,trk_inf_006_post_022,2025-01-07,120.0
plog_1293,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,120.0
plog_1294,inf_006,Order,006,trk_inf_006_post_022,2025-01-07,304.0
plog_1295,inf_006,Order,006,trk_inf_006_post_022,2025-01-06,120.0
plog_1296,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,96.0
plog_1297,inf_006,Order,006,trk_inf_006_post_022,2025-01-04,120.0
plog_1298,inf_006,Order,006,trk_inf_006_post_022,2025-01-07,96.0
plog_1299,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,96.0
plog_1300,inf_006,Order,006,trk_inf_006_post_022,2025-01-07,96.0
plog_1301,inf_006,Order,006,trk_inf_006_post_022,2025-01-09,72.0
plog_1302,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,304.0
plog_1303,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,72.0
plog_1304,inf_006,Order,006,trk_inf_006_post_022,2025-01-04,96.0
plog_1305,inf_006,Order,006,trk_inf_006_post_022,2025-01-09,120.0
plog_1306,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,120.0
plog_1307,inf_006,Order,006,trk_inf_006_post_022,2025-01-06,96.0
plog_1308,inf_006,Order,006,trk_inf_006_post_022,2025-01-05,72.0
plog_1309,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,120.0
plog_1310,inf_006,Order,006,trk_inf_006_post_022,2025-01-10,96.0
plog_1311,inf_006,Order,006,trk_inf_006_post_022,2025-01-07,304.0
plog_1312,inf_006,Order,006,trk_inf_006_post_022,2025-01-04,304.0
plog_1313,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,304.0
plog_1314,inf_006,Order,006,trk_inf_006_post_022,2025-01-08,72.0
plog_1315,inf_006,Order,006,trk_inf_006_post_022,2025-01-07,120.0
plog_1316,inf_006,Order,006,trk_inf_006_post_022,2025-01-06,72.0
plog_1317,inf_006,Order,006,trk_inf_006_post_022,2025-01-09,96.0
plog_1318,inf_006,Order,006,trk_inf_006_post_022,2025-01-10,96.0
